age,count
0,84904
1,85645
2,84249
3,84600
4,83633
5,84976
6,83454
7,82877
8,81371
9,80579
10,80401
11,80352
12,79068
13,80158
14,80525
15,85425
16,85064
17,86627
18,88927
19,92668
20,93227
21,95135
22,97950
23,103337
24,106399
25,108900
26,109967
27,113680
28,112826
29,115214
30,116102
31,117710
32,116936
33,119582
34,118954
35,119484
36,116085
37,114823
38,114775
39,114043
40,113461
41,116060
42,116596
43,120122
44,123928
45,125593
46,128798
47,131653
48,132787
49,135414
50,135553
51,137557
52,133203
53,128026
54,123435
55,119891
56,115985
57,111378
58,108328
59,104695
60,99934
61,96618
62,93031
63,91759
64,87637
65,89081
66,86899
67,87320
68,85534
69,84759
70,80555
71,78648
72,75186
73,71154
74,65706
75,59840
76,57390
77,54599
78,51431
79,50083
80,48254
81,45370
82,41982
83,39590
84,36307
85,33966
86,29947
87,26560
88,22767
89,20153
90,16964
91,14103
92,11349
93,8704
94,7025
95,4898
96,3031
97,2041
98,1368
99,926
100,606
101,435
102,250
103,141
104,73
105 und mehr,57
