age,count
0,4868
1,4757
2,4567
3,4218
4,3917
5,3835
6,3713
7,3631
8,3364
9,3229
10,3100
11,3071
12,2837
13,2725
14,2704
15,2607
16,2767
17,2691
18,2822
19,3252
20,3940
21,4432
22,5031
23,5727
24,6646
25,7546
26,8270
27,8870
28,9467
29,9592
30,9444
31,9330
32,9409
33,9053
34,8950
35,8766
36,8774
37,8133
38,7729
39,7479
40,7085
41,6768
42,6513
43,6225
44,6149
45,5971
46,5984
47,5893
48,5814
49,5838
50,5665
51,5507
52,5522
53,5172
54,4920
55,4638
56,4645
57,4316
58,4156
59,3957
60,3940
61,3626
62,3630
63,3484
64,3487
65,3198
66,3204
67,2979
68,2966
69,3034
70,2937
71,2886
72,2823
73,2699
74,2645
75,2507
76,2213
77,2184
78,2095
79,2080
80,2069
81,2013
82,1959
83,1840
84,1684
85,1660
86,1627
87,1465
88,1255
89,1117
90,983
91,836
92,667
93,513
94,426
95,320
96,235
97,136
98,91
99,70
100,33
101,26
102,21
103,5
104,5
105,4
106,2
108,2
